Rank,Ticker,Open,Close,Change_Pct,Week_Start,Week_End
1,LRCX,195.0,209.49,7.43,2026-03-09,2026-03-13
2,KLAC,1322.93,1409.57,6.55,2026-03-09,2026-03-13
3,INTC,42.74,45.25,5.87,2026-03-09,2026-03-13
4,AMAT,320.48,337.27,5.24,2026-03-09,2026-03-13
5,ASML,1284.79,1351.58,5.2,2026-03-09,2026-03-13
6,VRTX,455.59,478.13,4.95,2026-03-09,2026-03-13
7,AMD,189.36,197.74,4.43,2026-03-09,2026-03-13
8,CRWD,425.58,441.54,3.75,2026-03-09,2026-03-13
9,NVDA,176.82,183.14,3.57,2026-03-09,2026-03-13
10,GOOGL,294.36,303.55,3.12,2026-03-09,2026-03-13
11,GOOG,294.14,303.21,3.09,2026-03-09,2026-03-13
12,LCID,9.55,9.84,3.04,2026-03-09,2026-03-13
13,MNST,74.96,76.99,2.71,2026-03-09,2026-03-13
14,AVGO,327.25,335.97,2.66,2026-03-09,2026-03-13
15,DDOG,124.08,127.16,2.48,2026-03-09,2026-03-13
16,PANW,164.08,168.12,2.46,2026-03-09,2026-03-13
17,SBUX,98.25,100.18,1.96,2026-03-09,2026-03-13
18,CCEP,99.63,101.23,1.61,2026-03-09,2026-03-13
19,FTNT,83.06,84.4,1.61,2026-03-09,2026-03-13
20,TSLA,390.05,395.01,1.27,2026-03-09,2026-03-13
