Rank,Ticker,Open,Close,Change_Pct,Week_Start,Week_End
1,ICL.TA,1526.87,1710.0,11.99,2026-03-09,2026-03-13
2,TSEM.TA,34110.0,37790.0,10.79,2026-03-09,2026-03-13
3,ILCO.TA,86780.0,92120.0,6.15,2026-03-09,2026-03-13
4,NVMI.TA,125380.0,133040.0,6.11,2026-03-09,2026-03-13
5,RVL.TA,191.0,202.5,6.02,2026-03-09,2026-03-13
6,GILT.TA,4930.0,5205.0,5.58,2026-03-09,2026-03-13
7,EVGN.TA,245.7,256.3,4.31,2026-03-09,2026-03-13
8,SRAC.TA,5666.0,5873.0,3.65,2026-03-09,2026-03-13
9,BRAM.TA,153.2,156.5,2.15,2026-03-09,2026-03-13
10,FIBI.TA,26400.0,26690.0,1.1,2026-03-09,2026-03-13
11,POLI.TA,7750.0,7787.0,0.48,2026-03-09,2026-03-13
12,PNRG.TA,234.6,235.7,0.47,2026-03-09,2026-03-13
13,BRAN.TA,2712.0,2697.0,-0.55,2026-03-09,2026-03-13
14,OPK.TA,367.0,362.6,-1.2,2026-03-09,2026-03-13
15,KMDA.TA,2795.0,2747.0,-1.72,2026-03-09,2026-03-13
16,LUDN.TA,1146.0,1125.0,-1.83,2026-03-09,2026-03-13
17,TATT.TA,18290.0,17950.0,-1.86,2026-03-09,2026-03-13
18,ORL.TA,125.1,122.7,-1.92,2026-03-09,2026-03-13
19,TEVA.TA,9560.0,9374.0,-1.95,2026-03-09,2026-03-13
20,HARL.TA,18380.0,18020.0,-1.96,2026-03-09,2026-03-13
